Date,KOSPI 200,S&P 500,Nikkei 225,CSI 300
2018-09-17,295.23,2888.8,23094.67,3204.92
2018-09-18,296.1,2904.31,23420.54,3269.43
2018-09-19,296.64,2907.95,23672.52,3312.48
2018-09-20,299.04,2930.75,23674.93,3310.13
2018-09-21,300.81,2929.67,23869.93,3410.49
2018-09-24,300.81,2919.37,23869.93,3410.49
2018-09-25,300.81,2915.56,23940.26,3379.8
2018-09-26,300.81,2905.97,24033.79,3417.24
2018-09-27,302.59,2914.0,23796.74,3403.59
2018-09-28,300.51,2913.98,24120.04,3438.86
2018-10-01,300.17,2924.59,24245.76,3438.86
2018-10-02,296.53,2923.43,24270.62,3438.86
2018-10-03,296.53,2925.51,24110.96,3438.86
2018-10-04,291.78,2901.61,23975.62,3438.86
2018-10-05,291.28,2885.57,23783.72,3438.86
2018-10-08,289.91,2884.43,23783.72,3290.9
2018-10-09,289.91,2880.34,23469.39,3288.69
2018-10-10,287.85,2785.68,23506.04,3281.6
2018-10-11,275.15,2728.37,22590.86,3124.11
2018-10-12,279.37,2767.13,22694.66,3170.73
2018-10-15,277.19,2750.79,22271.3,3126.45
2018-10-16,276.9,2809.92,22549.24,3100.97
2018-10-17,280.05,2809.21,22841.12,3118.25
2018-10-18,277.48,2768.78,22658.16,3044.39
2018-10-19,278.63,2767.78,22532.08,3134.95
2018-10-22,279.4,2755.88,22614.82,3270.27
2018-10-23,272.54,2740.69,22010.78,3183.43
2018-10-24,271.36,2656.1,22091.18,3188.2
2018-10-25,266.72,2705.57,21268.73,3194.31
2018-10-26,262.69,2658.69,21184.6,3173.64
2018-10-29,260.19,2641.25,21149.8,3076.89
2018-10-30,262.47,2682.63,21457.29,3110.26
2018-10-31,264.01,2711.74,21920.46,3153.82
2018-11-01,262.95,2740.37,21687.65,3177.03
2018-11-02,272.56,2723.06,22243.66,3290.25
2018-11-05,270.07,2738.31,21898.99,3262.84
2018-11-06,271.57,2755.45,22147.75,3243.15
2018-11-07,270.45,2813.89,22085.8,3221.91
2018-11-08,272.11,2806.83,22486.92,3212.77
2018-11-09,271.33,2781.01,22250.25,3167.44
2018-11-12,271.57,2726.22,22269.88,3205.14
2018-11-13,269.7,2722.18,21810.52,3237.38
2018-11-14,268.88,2701.58,21846.48,3204.94
2018-11-15,271.54,2730.2,21803.62,3242.37
2018-11-16,271.65,2736.27,21680.34,3257.67
2018-11-19,272.31,2690.73,21821.16,3294.6
2018-11-20,269.58,2641.89,21583.12,3218.41
2018-11-21,268.27,2649.93,21507.54,3226.49
2018-11-22,267.76,2649.93,21646.55,3214.43
2018-11-23,266.33,2632.56,21646.55,3143.48
2018-11-26,269.79,2673.45,21812.0,3141.24
